Month,Day,Year,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
6,25,2013,24.75,-81.625,29.0427,0,0,0
6,26,2013,24.75,-81.625,29.1725,0,0,0
6,27,2013,24.75,-81.625,29.2263,0,0,0
6,28,2013,24.75,-81.625,29.2685,0,0,0
6,29,2013,24.75,-81.625,29.5957,0,0,0
6,30,2013,24.75,-81.625,29.2711,0,0,0
7,1,2013,24.75,-81.625,28.6912,0,0,0
7,2,2013,24.75,-81.625,28.3272,0,0,0
7,3,2013,24.75,-81.625,28.0808,0,0,0
7,4,2013,24.75,-81.625,28.3556,0,0,0
7,5,2013,24.75,-81.625,28.8133,0,0,0
7,6,2013,24.75,-81.625,28.6847,0,0,0
7,7,2013,24.75,-81.625,28.358,0,0,0
7,8,2013,24.75,-81.625,28.8561,0,0,0
7,9,2013,24.75,-81.625,28.4896,0,0,0
7,10,2013,24.75,-81.625,28.7021,0,0,0
7,11,2013,24.75,-81.625,29.0119,0,0,0
7,12,2013,24.75,-81.625,29.3231,0,0,0
7,13,2013,24.75,-81.625,28.8601,0,0,0
7,14,2013,24.75,-81.625,28.64,0,0,0
7,15,2013,24.75,-81.625,28.7893,0,0,0
7,16,2013,24.75,-81.625,28.57,0,0,0
7,17,2013,24.75,-81.625,28.6459,0,0,0
7,18,2013,24.75,-81.625,28.4737,0,0,0
7,19,2013,24.75,-81.625,28.5844,0,0,0
7,20,2013,24.75,-81.625,28.5438,0,0,0
7,21,2013,24.75,-81.625,28.8035,0,0,0
7,22,2013,24.75,-81.625,28.7523,0,0,0
7,23,2013,24.75,-81.625,29.3812,0,0,0
7,24,2013,24.75,-81.625,29.4838,0,0,0
7,25,2013,24.75,-81.625,29.4538,0,0,0
7,26,2013,24.75,-81.625,29.636,0,0,0
7,27,2013,24.75,-81.625,30.1066,0.4051,0,1
7,28,2013,24.75,-81.625,29.934,0.3924,0,1
7,29,2013,24.75,-81.625,30.6086,0.9433,0,1
7,30,2013,24.75,-81.625,30.7591,1.0924,0.1561,2
7,31,2013,24.75,-81.625,30.128,0.5091,0.1561,2
8,1,2013,24.75,-81.625,29.8913,0.2748,0.1561,2
8,2,2013,24.75,-81.625,30.3953,0.8615,0.1561,2
8,3,2013,24.75,-81.625,30.3699,0.7188,0.1561,2
8,4,2013,24.75,-81.625,30.1998,0.542,0.1561,2
8,5,2013,24.75,-81.625,30.2662,0.6099,0.1561,2
8,6,2013,24.75,-81.625,30.1075,0.5055,0.1561,1
8,7,2013,24.75,-81.625,30.5245,0.9159,0.1561,1
8,8,2013,24.75,-81.625,30.2712,0.7189,0.1561,1
8,9,2013,24.75,-81.625,30.308,0.7648,0.1561,1
8,10,2013,24.75,-81.625,30.0206,0.3526,0.1561,1
8,11,2013,24.75,-81.625,29.8,0.0382,0.1561,1
8,12,2013,24.75,-81.625,29.8981,0.3471,0.1561,1
8,13,2013,24.75,-81.625,29.5743,0,0.1561,1
8,14,2013,24.75,-81.625,29.6611,0.118,0.1561,1
8,15,2013,24.75,-81.625,29.4648,0,0.1561,1
8,16,2013,24.75,-81.625,29.2655,0,0.1561,1
8,17,2013,24.75,-81.625,30.2048,0.567,0.1561,1
8,18,2013,24.75,-81.625,30.1352,0.5986,0.1561,1
8,19,2013,24.75,-81.625,29.9281,0.108,0.1561,1
8,20,2013,24.75,-81.625,29.7348,0,0.1561,1
8,21,2013,24.75,-81.625,29.447,0,0.1561,1
8,22,2013,24.75,-81.625,29.178,0,0.1561,1
8,23,2013,24.75,-81.625,29.476,0,0.1561,1
8,24,2013,24.75,-81.625,29.1576,0,0.1561,1
8,25,2013,24.75,-81.625,29.7073,0.1497,0.1561,1
8,26,2013,24.75,-81.625,29.4454,0,0.1561,1
8,27,2013,24.75,-81.625,29.7838,0.2367,0.1561,1
8,28,2013,24.75,-81.625,29.6448,0.0301,0.1561,1
8,29,2013,24.75,-81.625,30.1475,0.5349,0.1561,1
8,30,2013,24.75,-81.625,30.0992,0.5289,0.1561,1
8,31,2013,24.75,-81.625,30.0046,0.4447,0.1561,1
9,1,2013,24.75,-81.625,30.0868,0.503,0.1561,1
9,2,2013,24.75,-81.625,29.9434,0.3758,0.1561,1
9,3,2013,24.75,-81.625,29.8812,0.1752,0.1561,1
9,4,2013,24.75,-81.625,29.5706,0,0.1561,1
9,5,2013,24.75,-81.625,29.7012,0.1404,0.1561,1
9,6,2013,24.75,-81.625,29.7969,0.2786,0.1561,1
9,7,2013,24.75,-81.625,29.8928,0.3488,0.1561,1
9,8,2013,24.75,-81.625,29.7767,0.2291,0.1561,1
9,9,2013,24.75,-81.625,29.707,0.1172,0.1561,1
9,10,2013,24.75,-81.625,29.7121,0.1522,0.1561,1
9,11,2013,24.75,-81.625,29.5592,0,0.1561,1
9,12,2013,24.75,-81.625,29.6366,0.1166,0.1561,1
9,13,2013,24.75,-81.625,29.3962,0,0.1561,1
9,14,2013,24.75,-81.625,29.9175,0.2357,0.1561,1
9,15,2013,24.75,-81.625,30.1435,0.4076,0.1561,1
9,16,2013,24.75,-81.625,29.4176,0,0.1561,1
9,17,2013,24.75,-81.625,28.7156,0,0.1561,1
9,18,2013,24.75,-81.625,28.9919,0,0.1561,1
9,19,2013,24.75,-81.625,28.9977,0,0.1561,1
9,20,2013,24.75,-81.625,29.326,0,0.1561,1
9,21,2013,24.75,-81.625,29.4167,0,0.1561,1
9,22,2013,24.75,-81.625,29.5049,0,0.1561,0
9,23,2013,24.75,-81.625,29.2825,0,0.1561,0
9,24,2013,24.75,-81.625,29.4272,0,0.1561,0
9,25,2013,24.75,-81.625,29.6101,0.0569,0.1561,1
9,26,2013,24.75,-81.625,30.24,0.3666,0.1561,1
9,27,2013,24.75,-81.625,29.5624,0,0.1561,1
9,28,2013,24.75,-81.625,29.5466,0,0.1561,1
9,29,2013,24.75,-81.625,29.4895,0,0.1561,1
9,30,2013,24.75,-81.625,29.5662,0,0.1561,1
10,1,2013,24.75,-81.625,29.4371,0,0.1561,1
10,2,2013,24.75,-81.625,29.3283,0,0.1561,1
10,3,2013,24.75,-81.625,29.2266,0,0.1561,0
10,4,2013,24.75,-81.625,28.9875,0,0.1561,0
10,5,2013,24.75,-81.625,29.0268,0,0.1561,0
10,6,2013,24.75,-81.625,29.4821,0,0.1561,0
10,7,2013,24.75,-81.625,29.4079,0,0.1561,0
10,8,2013,24.75,-81.625,29.4189,0,0.1561,0
10,9,2013,24.75,-81.625,29.2065,0,0.1561,0
10,10,2013,24.75,-81.625,29.0942,0,0.1561,0
10,11,2013,24.75,-81.625,29.3505,0,0.1561,0
10,12,2013,24.75,-81.625,29.1033,0,0.1561,0
10,13,2013,24.75,-81.625,28.7429,0,0.1561,0
10,14,2013,24.75,-81.625,28.4097,0,0.1561,0
10,15,2013,24.75,-81.625,28.9432,0,0.1561,0
10,16,2013,24.75,-81.625,28.3825,0,0.1561,0
10,17,2013,24.75,-81.625,29.1361,0,0.1561,0
10,18,2013,24.75,-81.625,28.8684,0,0.1561,0
10,19,2013,24.75,-81.625,28.6236,0,0.1561,0
10,20,2013,24.75,-81.625,28.8036,0,0.1561,0
