Channel,Distance (km),Phase,Arrival Time,Time after quake (s)
CI.EWC.EHZ.,1.81,P,31:25.4,30
LA.TPR.EHZ.,,P,30:59.0,4
CI.WMF.EHZ.,1.981,P,31:28.0,33
CI.BLK.EHZ.,1.394,P,31:19.5,24
CI.TEJ.EHZ.,1.023,P,31:13.6,18
CI.GFP.ELZ.,0.1975,P,30:59.8,4
CI.BTL.EHZ.,1.27,P,31:18.0,23
BK.PRI.EHZ.,2.596,P,31:36.1,41
WR.FRI.EHZ.,,P,31:40.3,45
CI.EDW.ELZ.,0.8061,P,31:10.1,15
CI.YAQ.EHZ.,2.098,P,31:28.7,33
NC.PHC.EHZ.,2.602,P,31:35.5,40
CI.MIR.EHZ.,2.193,P,31:29.8,34
CI.WOR.EHZ.,1.499,P,31:21.0,26
CI.WAS.EHZ.,1.521,P,31:21.5,26
CI.WLH.EHZ.,1.944,P,31:27.6,32
CI.WBS.EHZ.,1.36,P,31:19.2,24
CI.DTP.EHZ.,1.196,P,31:16.5,21
CI.GTM.EHZ.,1.808,P,31:25.7,30
CI.XTL.EHZ.,0.565,P,31:05.9,11
LA.DH2.ELZ.,,P,31:00.7,5
CI.CPE.EHZ.,1.781,P,31:23.7,28
CI.CPM.EHZ.,1.94,P,31:27.6,32
CI.POB.EHZ.,1.44,P,31:19.0,24
LA.PVP.ELZ.,,P,31:03.8,8
CI.CRG.EHZ.,1.418,P,31:19.8,24
WR.CSP.EHZ.,,P,31:13.1,18
CI.SBP.ELZ.,1.079,P,31:15.2,20
CI.MEC.EHZ.,2.163,P,31:29.8,34
CI.ORK.EHZ.,2.39,P,31:32.1,37
CI.HAY.EHZ.,2.461,P,31:33.8,38
CI.INS.EHZ.,1.963,P,31:27.3,32
CI.ELM.EHZ.,0.8046,P,31:10.1,15
CI.TM2.EHZ.,1.199,P,31:16.8,21
CI.FTC.EHZ.,0.7221,P,31:08.4,13
CI.SND.EHZ.,0.9473,P,31:12.5,17
CI.DBM.EHZ.,0.7776,P,31:09.6,14
CI.IND.EHZ.,1.956,P,31:27.2,32
CI.WSP.EHZ.,0.3839,P,31:03.0,8
CI.ARV.EHZ.,0.9432,P,31:12.3,17
CI.PLE.EHZ.,0.8722,P,31:11.4,16
CI.LOK.EHZ.,0.6864,P,31:07.8,12
CI.MAR.EHZ.,1.029,P,31:13.7,18
CI.JFS.EHZ.,1.34,P,31:18.5,23
CI.LEO.EHZ.,0.4586,P,31:03.8,8
CI.MDA.EHZ.,1.31,P,31:17.7,22
CI.CJV.EHZ.,0.4531,P,31:03.8,8
CI.FIL.EHZ.,0.324,P,31:02.7,7
CI.TJR.EHZ.,0.83,P,31:10.2,15
CI.QAL.EHZ.,0.5547,P,31:05.7,10
CI.CBK.EHZ.,2.305,P,31:32.0,37
CI.RAY.EHZ.,1.441,P,31:20.1,25
CI.GSA.ELZ.,0.3473,P,31:02.2,7
CI.LHU.EHZ.,0.4682,P,31:03.6,8
CI.SIM.EHZ.,1.652,P,31:23.3,28
CI.GVR.EHZ.,0.3824,P,31:03.1,8
CI.BRS.EHZ.,1.369,P,31:18.9,24
CI.RMM.EHZ.,1.638,P,31:23.1,28
CI.PLS.EHZ.,0.8763,P,31:11.2,16
CI.PLS.EHN.,0.8763,P,31:11.6,16
CI.PLS.EHE.,0.8763,P,31:11.2,16
NC.PBI.EHZ.,,P,31:25.9,30
NC.MMI.EHZ.,3.347,P,31:46.7,51
NC.PTQ.EHZ.,1.724,P,31:23.4,28
NC.PMG.EHZ.,2.034,P,31:27.9,33
WR.ORV.EHZ.,,P,32:21.6,86
CI.WIN.EHZ.,1.304,P,31:17.0,22
CI.WIN.ELN.,1.304,P,31:17.4,22
CI.BAC.EHZ.,1.381,P,31:17.8,22
LA.LCL.ELZ.,,P,31:05.7,10
LA.LOM.EHZ.,,P,31:04.7,9
CI.FMA.EHZ.,0.5361,P,31:05.5,10
LA.RCP.ELZ.,,P,31:05.7,10
LA.HCM.ELZ.,,P,31:01.3,6
CI.SMF.EHZ.,0.2051,P,31:00.6,5
